Zone,Best_Run,Layers,Units,Dropout,Learning_Rate,Batch_Size,Best_Epoch,Validation_RMSE,Validation_MAE,Validation_MAPE,Validation_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_R2,Average_Response_Time_ms,Median_Response_Time_ms
Zone_1,run_02,1,64,0.2,0.001,64,29,959.4550123364928,685.5429358598228,2.1228920027178853,0.978991901170896,4408.5788759385205,3513.4198579908007,13.099330957388451,0.4703972734479661,271.8687290008529,268.943949995446
Zone_2,run_02,1,64,0.2,0.001,64,29,722.4039825188663,523.5315736722854,2.470799906018821,0.9756381046757346,3219.449659937427,2633.831163343565,11.914145233364854,0.6681278402133819,273.4387189990957,269.6375000086846
Zone_3,run_06,2,64-32,0.3,0.0005,64,13,910.9856537760288,649.572980248013,4.90460216309214,0.91938805036494,1428.667441352776,1149.1619516939843,9.967263633860028,0.8191421647841451,545.7040960004088,541.3226000091527
