Model,Zone,RMSE,MAE,MAPE,R2,Response_Time_ms,Median_Response_Time_ms,Total_Inference_Time_Sec,Avg_Inference_Time_Per_Sample_ms,Throughput_Samples_Per_Sec,Source_Test_Size,RMSE_Rank,MAE_Rank,MAPE_Rank,Response_Time_ms_Rank,R2_Rank,Average_Rank,Zone_Selection,Overall_Model_Average_Rank
GRU,Zone_1,640.2018751887517,460.138648895035,1.6093755825848228,0.9888317052971172,422.2449000008055,,1.7040275000035765,0.2167146763326435,4614.362150835886,7863,1.0,1.0,1.0,2.0,1.0,1.2,True,1.1333333333333333
LSTM,Zone_1,4408.5788759385205,3513.4198579908007,13.099330957388451,0.4703972734479661,271.8687290008529,268.943949995446,,,,,2.0,2.0,2.0,1.0,2.0,1.8,False,1.8666666666666665
GRU,Zone_2,592.0059945146684,416.7411364720103,1.7312879399387706,0.9887782716115682,420.70070000045234,,4.255290000000969,0.5411789393362544,1847.8176575505336,7863,1.0,1.0,1.0,2.0,1.0,1.2,True,1.1333333333333333
LSTM,Zone_2,3219.449659937427,2633.831163343565,11.914145233364854,0.6681278402133819,273.4387189990957,269.6375000086846,,,,,2.0,2.0,2.0,1.0,2.0,1.8,False,1.8666666666666665
GRU,Zone_3,499.5456137761885,349.7662957534867,2.995270266161091,0.9778881370801276,421.42290000629146,,1.6271094999974594,0.2069324049341802,4832.495907627776,7863,1.0,1.0,1.0,1.0,1.0,1.0,True,1.1333333333333333
LSTM,Zone_3,1428.667441352776,1149.1619516939843,9.967263633860028,0.8191421647841451,545.7040960004088,541.3226000091527,,,,,2.0,2.0,2.0,2.0,2.0,2.0,False,1.8666666666666665
