Zone,Model,Average_Rank_Score,RMSE,MAE,MAPE,R2,Response_Time_ms
Zone_1,GRU,1.2,640.2018751887517,460.138648895035,1.6093755825848228,0.9888317052971172,422.2449000008055
Zone_2,GRU,1.2,592.0059945146684,416.7411364720103,1.7312879399387706,0.9887782716115682,420.70070000045234
Zone_3,GRU,1.0,499.5456137761885,349.7662957534867,2.995270266161091,0.9778881370801276,421.42290000629146
