Model,RMSE,MAE,MAPE
ARIMA,337.2424771572477,212.23721166219005,1.1008317184423826
Linear Regression,333.28004533751,225.48304901907065,1.2441268414862365
Prophet,2714.038046288941,2136.453915576299,12.084612080149673
Random Forest,350.27105162446156,234.30334188376423,1.3548071774781283
SARIMA,319.85028011159716,195.46543672353243,1.0273617161176896
XGBoost,327.38060359422525,219.16418514399348,1.2949375500276694
