Model,Zone,Feature,Importance
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_max_1h,0.0063507636077702045
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_max_24h,0.0005435919156298041
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_mean_1h,0.12078333646059036
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_mean_24h,0.0008001758833415806
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_min_1h,0.08765781670808792
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_min_24h,0.00038584612775593996
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_std_1h,0.0006748631130903959
XGBoost,Zone_1_Power_Consumption,Zone_1_roll_std_24h,0.00018849306798074394
XGBoost,Zone_1_Power_Consumption,Zone_2_lag_1,0.0005865466082468629
XGBoost,Zone_1_Power_Consumption,Zone_2_lag_144,0.0003003909077960998
XGBoost,Zone_1_Power_Consumption,Zone_2_lag_6,0.00017476256471127272
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_max_1h,0.00023148405307438225
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_max_24h,0.0002196426794398576
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_mean_1h,0.00037633010651916265
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_mean_24h,0.00032790403929539025
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_min_1h,0.00033392818295396864
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_min_24h,0.00021006472525186837
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_std_1h,0.00046464361366815865
XGBoost,Zone_1_Power_Consumption,Zone_2_roll_std_24h,0.00013727151963394135
XGBoost,Zone_1_Power_Consumption,Zone_3_lag_1,0.0001988628355320543
XGBoost,Zone_1_Power_Consumption,Zone_3_lag_144,0.00035340580507181585
XGBoost,Zone_1_Power_Consumption,Zone_3_lag_6,0.0003548374806996435
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_max_1h,0.00017414736794307828
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_max_24h,0.00022337127302307636
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_mean_1h,0.00028246387955732644
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_mean_24h,0.00019697911920957267
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_min_1h,0.0003047955397050828
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_min_24h,0.00011868726141983643
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_std_1h,0.0023301905021071434
XGBoost,Zone_1_Power_Consumption,Zone_3_roll_std_24h,0.00021629349794238806
Random Forest,Zone_2_Power_Consumption,Day_of_Week,2.10828514846757e-05
Random Forest,Zone_2_Power_Consumption,Diffuse_Flows,0.0005866418821266381
Random Forest,Zone_2_Power_Consumption,General_Diffuse_Flows,0.0010895531783483682
Random Forest,Zone_2_Power_Consumption,Hour,0.0001854458064431679
Random Forest,Zone_2_Power_Consumption,Humidity,5.672686725395856e-05
Random Forest,Zone_2_Power_Consumption,Is_Peak_Hour,1.4059817377678286e-05
Random Forest,Zone_2_Power_Consumption,Is_Weekend,3.525890999471326e-06
Random Forest,Zone_2_Power_Consumption,Month,1.712051049691825e-05
Random Forest,Zone_2_Power_Consumption,Quarter,6.574036620184698e-06
Random Forest,Zone_2_Power_Consumption,Season_Autumn,9.245345651372658e-07
Random Forest,Zone_2_Power_Consumption,Season_Spring,4.4129549441647445e-06
Random Forest,Zone_2_Power_Consumption,Season_Summer,1.3480221883895778e-06
Random Forest,Zone_2_Power_Consumption,Season_Winter,2.067463921647401e-06
Random Forest,Zone_2_Power_Consumption,Temp_Humidity_Index,5.089673513706088e-05
Random Forest,Zone_2_Power_Consumption,Temperature,4.755739660478299e-05
Random Forest,Zone_2_Power_Consumption,Wind_Speed,6.36712944851505e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_lag_1,8.200176527210726e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_lag_144,0.00011092818750135775
Random Forest,Zone_2_Power_Consumption,Zone_1_lag_6,0.00012718660466745142
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_max_1h,7.064213262213926e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_max_24h,4.439972563260401e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_mean_1h,9.114024878714217e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_mean_24h,7.30807067799371e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_min_1h,5.982796235557333e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_min_24h,4.671467251812679e-05
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_std_1h,0.00027403949231517887
Random Forest,Zone_2_Power_Consumption,Zone_1_roll_std_24h,5.820801024704328e-05
Random Forest,Zone_2_Power_Consumption,Zone_2_lag_1,0.7388481532938647
Random Forest,Zone_2_Power_Consumption,Zone_2_lag_144,0.0017390156227863702
Random Forest,Zone_2_Power_Consumption,Zone_2_lag_6,0.015173487018341644
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_max_1h,0.07491532274267844
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_max_24h,6.68298032431322e-05
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_mean_1h,0.13289259148509583
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_mean_24h,0.00013394690264372435
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_min_1h,0.0311366577509803
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_min_24h,7.140228988087873e-05
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_std_1h,0.0002399353234316454
Random Forest,Zone_2_Power_Consumption,Zone_2_roll_std_24h,6.56922559970632e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_lag_1,5.292009905995623e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_lag_144,0.00010268919862698622
Random Forest,Zone_2_Power_Consumption,Zone_3_lag_6,0.00011070892993257472
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_max_1h,5.672840087347563e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_max_24h,2.6381822560255156e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_mean_1h,9.659560253906277e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_mean_24h,5.421754308442939e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_min_1h,5.0841697396349643e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_min_24h,3.69372436772912e-05
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_std_1h,0.0008727699298428332
Random Forest,Zone_2_Power_Consumption,Zone_3_roll_std_24h,6.639629176699551e-05
XGBoost,Zone_2_Power_Consumption,Day_of_Week,0.0003620293573476374
XGBoost,Zone_2_Power_Consumption,Diffuse_Flows,0.004383268300443888
XGBoost,Zone_2_Power_Consumption,General_Diffuse_Flows,0.002911036368459463
