loss,val_loss
0.0115062166005373,0.009660783223807812
0.004569599404931068,0.00956599973142147
0.0036200941540300846,0.0061576212756335735
0.003066056175157428,0.004850998520851135
0.002500377129763365,0.003752104239538312
0.0022700319532305002,0.003017536597326398
0.001981895649805665,0.0028924550861120224
0.0018164713401347399,0.002637607743963599
0.0016718361293897033,0.002725528785958886
0.001546198152936995,0.0022896744776517153
0.001417852472513914,0.0018729014554992318
0.0013036984018981457,0.0017788896802812815
0.0012630277778953314,0.0018208124674856663
0.001123783178627491,0.001727208960801363
0.0011146273463964462,0.0014899105299264193
0.0010650998447090387,0.0013131926534697413
0.0010417107259854674,0.001207223511300981
0.0009743953123688698,0.0010919282212853432
0.000917551398742944,0.0011999299749732018
0.0009076384012587368,0.001050989725627005
0.0008523736032657325,0.0011410064762458205
0.0008215739508159459,0.0010602993424981833
0.0008303822251036763,0.0010207263985648751
0.0007880465127527714,0.0008731101406738162
0.000772228348068893,0.0009449035860598087
0.0007551122107543051,0.0009286543936468661
0.0007374742417596281,0.0009899662109091878
0.0007132074679248035,0.0009853332303464413
0.0006918314611539245,0.0010486129904165864
