Run,Layers,Units,Dropout,Learning_Rate,Batch_Size,Best_Epoch,Best_Val_Loss,Training_Time_Seconds,RMSE,MAE,MAPE,R2
run_01,1,32,0.2,0.001,64,18,0.0017064062412828207,518.9255707263947,1146.4422042202775,874.6456998287321,3.959015416468213,0.9386442681536701
run_02,1,64,0.2,0.001,64,29,0.0006775453803129494,1279.1187357902527,722.4039825188663,523.5315736722854,2.470799906018821,0.9756381046757346
run_03,1,128,0.2,0.001,64,9,0.0036828855518251657,913.4650554656982,1684.2443588145268,1408.5643246223688,6.566685054070816,0.8675777347993606
run_04,2,64-32,0.2,0.001,64,11,0.0017271633259952068,997.3951432704926,1153.393926704247,841.0042594206292,3.8096263890506603,0.9378979222923481
run_05,2,64-32,0.3,0.001,64,11,0.001866290345788002,960.6502687931061,1198.948494997184,853.9207235850679,3.860664894127952,0.9328954661964675
run_06,2,64-32,0.3,0.0005,64,29,0.0013318920973688364,1760.5149881839752,1012.850712712048,776.8588298524356,3.5771206710016323,0.9521103474829591
